Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,18.0,21.0,20.0,21.0,21.0,19.0,21.0
19.0,19.0,22.0,21.0,23.0,22.0,21.0,18.0
21.0,20.0,23.0,21.0,24.0,22.0,20.0,19.0
23.0,19.0,25.0,23.0,25.0,22.0,22.0,21.0
24.0,23.0,27.0,23.0,26.0,23.0,24.0,22.0
27.0,23.0,28.0,23.0,28.0,25.0,27.0,23.0
28.0,25.0,29.0,27.0,31.0,26.0,30.0,26.0
30.0,26.0,32.0,28.0,32.0,24.0,32.0,27.0
32.0,28.0,35.0,28.0,31.0,29.0,34.0,31.0
35.0,33.0,36.0,31.0,31.0,30.0,38.0,32.0
40.0,33.0,39.0,34.0,33.0,31.0,40.0,36.0
43.0,41.0,39.0,36.0,38.0,31.0,44.0,37.0
42.0,40.0,42.0,38.0,39.0,31.0,46.0,42.0
46.0,41.0,45.0,40.0,40.0,36.0,51.0,45.0
48.0,44.0,47.0,43.0,44.0,38.0,52.0,52.0
50.0,47.0,48.0,47.0,46.0,41.0,55.0,55.0
52.0,46.0,53.0,48.0,49.0,45.0,59.0,53.0
54.0,48.0,54.0,51.0,49.0,45.0,62.0,54.0
55.0,50.0,56.0,54.0,50.0,46.0,61.0,61.0
54.0,51.0,57.0,56.0,51.0,49.0,63.0,61.0
56.0,53.0,60.0,56.0,53.0,50.0,66.0,59.0
56.0,53.0,59.0,59.0,53.0,50.0,63.0,63.0
56.0,55.0,62.0,60.0,53.0,52.0,62.0,63.0
56.0,55.0,61.0,61.0,51.0,53.0,63.0,63.0
55.0,56.0,61.0,61.0,52.0,52.0,62.0,62.0
54.0,56.0,61.0,61.0,52.0,52.0,62.0,63.0
54.0,55.0,60.0,61.0,51.0,51.0,61.0,62.0
52.0,54.0,59.0,61.0,50.0,51.0,60.0,61.0
50.0,52.0,57.0,59.0,48.0,50.0,58.0,61.0
49.0,52.0,55.0,59.0,46.0,47.0,56.0,59.0
47.0,51.0,53.0,56.0,43.0,46.0,54.0,58.0
45.0,50.0,49.0,55.0,40.0,45.0,52.0,54.0
43.0,48.0,49.0,51.0,38.0,45.0,50.0,54.0
41.0,45.0,44.0,51.0,37.0,41.0,49.0,51.0
39.0,45.0,43.0,46.0,37.0,39.0,45.0,50.0
36.0,41.0,42.0,44.0,35.0,38.0,43.0,46.0
36.0,38.0,37.0,43.0,31.0,37.0,42.0,44.0
34.0,37.0,35.0,42.0,29.0,35.0,39.0,43.0
31.0,37.0,32.0,37.0,27.0,31.0,36.0,42.0
28.0,34.0,27.0,31.0,23.0,29.0,34.0,37.0
26.0,31.0,24.0,28.0,22.0,27.0,30.0,35.0
23.0,28.0,20.0,27.0,21.0,24.0,27.0,32.0
23.0,25.0,18.0,21.0,20.0,22.0,23.0,31.0
22.0,23.0,12.0,20.0,18.0,20.0,25.0,26.0
20.0,23.0,11.0,19.0,16.0,20.0,23.0,27.0
21.0,21.0,14.0,15.0,15.0,19.0,23.0,22.0
18.0,21.0,12.0,14.0,15.0,17.0,20.0,22.0
19.0,18.0,12.0,13.0,14.0,15.0,20.0,21.0
19.0,19.0,12.0,12.0,15.0,14.0,20.0,21.0
